Sector,Company
Technology,Microsoft Corporation
Technology,Apple Inc.
Technology,NVIDIA Corporation
Technology,Broadcom Inc.
Technology,Oracle Corporation
Technology,Adobe Inc.
Technology,"Salesforce, Inc."
Technology,"Advanced Micro Devices, Inc."
Technology,Accenture plc
Technology,"Cisco Systems, Inc."
Financial Services,Berkshire Hathaway Inc.
Financial Services,JPMorgan Chase & Co.
Financial Services,Visa Inc.
Financial Services,Mastercard Incorporated
Financial Services,Bank of America Corporation
Financial Services,Wells Fargo & Company
Financial Services,Blackstone Inc.
Financial Services,American Express Company
Financial Services,Morgan Stanley
Financial Services,"The Goldman Sachs Group, Inc."
Healthcare,Eli Lilly and Company
Healthcare,UnitedHealth Group Incorporated
Healthcare,Johnson & Johnson
Healthcare,"Merck & Co., Inc."
Healthcare,AbbVie Inc.
Healthcare,Thermo Fisher Scientific Inc.
Healthcare,Abbott Laboratories
Healthcare,Danaher Corporation
Healthcare,Amgen Inc.
Healthcare,Pfizer Inc.
Consumer Cyclical,"Amazon.com, Inc."
Consumer Cyclical,"Tesla, Inc."
Consumer Cyclical,"The Home Depot, Inc."
Consumer Cyclical,McDonald's Corporation
Consumer Cyclical,"NIKE, Inc."
Consumer Cyclical,Booking Holdings Inc.
Consumer Cyclical,"Lowe's Companies, Inc."
Consumer Cyclical,"The TJX Companies, Inc."
Consumer Cyclical,Starbucks Corporation
Consumer Cyclical,"Airbnb, Inc."
Industrials,Caterpillar Inc.
Industrials,Union Pacific Corporation
Industrials,General Electric Company
Industrials,Honeywell International Inc.
Industrials,The Boeing Company
Industrials,"United Parcel Service, Inc."
Industrials,RTX Corporation
Industrials,Eaton Corporation plc
Industrials,Deere & Company
Industrials,Lockheed Martin Corporation
Communication Services,Alphabet Inc.
Communication Services,"Meta Platforms, Inc."
Communication Services,"Netflix, Inc."
Communication Services,The Walt Disney Company
Communication Services,"T-Mobile US, Inc."
Communication Services,Verizon Communications Inc.
Communication Services,Comcast Corporation
Communication Services,AT&T Inc.
Communication Services,"DoorDash, Inc."
Communication Services,Spotify Technology S.A.
Consumer Defensive,Walmart Inc.
Consumer Defensive,The Procter & Gamble Company
Consumer Defensive,Costco Wholesale Corporation
Consumer Defensive,The Coca-Cola Company
Consumer Defensive,"PepsiCo, Inc."
Consumer Defensive,Philip Morris International Inc.
Consumer Defensive,"Mondelez International, Inc."
Consumer Defensive,"Altria Group, Inc."
Consumer Defensive,Colgate-Palmolive Company
Consumer Defensive,Target Corporation
Energy,Exxon Mobil Corporation
Energy,Chevron Corporation
Energy,ConocoPhillips
Energy,Schlumberger Limited
Energy,"EOG Resources, Inc."
Energy,Phillips 66
Energy,Marathon Petroleum Corporation
Energy,Enterprise Products Partners L.P.
Energy,Pioneer Natural Resources Company
Energy,Occidental Petroleum Corporation
Basic Materials,Linde plc
Basic Materials,The Sherwin-Williams Company
Basic Materials,Southern Copper Corporation
Basic Materials,Ecolab Inc.
Basic Materials,Freeport-McMoRan Inc.
Basic Materials,CRH plc
Basic Materials,"Air Products and Chemicals, Inc."
Basic Materials,Nucor Corporation
Basic Materials,Dow Inc.
Basic Materials,Newmont Corporation
Real Estate,"Prologis, Inc."
Real Estate,American Tower Corporation
Real Estate,"Equinix, Inc."
Real Estate,"Simon Property Group, Inc."
Real Estate,Public Storage
Real Estate,Welltower Inc.
Real Estate,Crown Castle Inc.
Real Estate,"Digital Realty Trust, Inc."
Real Estate,Realty Income Corporation
Real Estate,"CoStar Group, Inc."
Utilities,"NextEra Energy, Inc."
Utilities,The Southern Company
Utilities,Duke Energy Corporation
Utilities,Sempra
Utilities,Constellation Energy Corporation
Utilities,PG&E Corporation
Utilities,"American Electric Power Company, Inc."
Utilities,"Dominion Energy, Inc."
Utilities,Exelon Corporation
Utilities,Xcel Energy Inc.
