Ticker,Sector,Price,Volume,Fifty Day Average
AACG,Consumer Defensive,1.16,73181,1.2718
AACI,Financial Services,11.01,70615,10.95444
AACIU,Financial Services,11.51,100,10.8732
AACIW,Financial Services,0.05,7200,-1
AADI,Healthcare,2.15,219542,1.8941
AADR,-1,-1,1635,57.3838
AAGR,Consumer Defensive,0.4039,160506,0.78028
AAGRW,Consumer Defensive,0.0131,28362,-1
AAL,Industrials,14.78,25455702,14.544
AAME,Financial Services,2.79,251,2.6368
AAOI,Technology,14.92,1620947,16.9341
AAON,Industrials,88.35,270345,77.8584
AAPB,-1,-1,627307,20.4424
AAPD,-1,-1,483374,21.36274
AAPL,Technology,171.37,105231182,182.8822
AAPU,-1,-1,922760,25.1314
AAXJ,-1,-1,416964,65.3636
ABAT,Basic Materials,1.98,539018,2.4813
ABCB,Financial Services,48.38,305507,48.3034
ABCL,Healthcare,4.71,831650,5.098
ABCS,-1,-1,4392,25.44632
ABEO,Healthcare,7.53,316687,6.2708
ABIO,Healthcare,1.78,47063,1.6474
ABL,Financial Services,12.18,34877,11.90416
ABLLL,-1,-1,5044,25.26076
ABLLW,-1,-1,8816,-1
ABLV,Communication Services,2.8546,107701,2.80682
ABLVW,Communication Services,0.0565,93661,-1
ABNB,Consumer Cyclical,168.18,5931016,151.0855
ABOS,Healthcare,4.33,323224,3.694
ABSI,Healthcare,5.28,1553615,4.4879
ABTS,Financial Services,0.78,344213,0.97422
ABUS,Healthcare,2.55,572759,2.605
ABVC,Healthcare,1.06,83496,1.29292
ABVX,Healthcare,14.77,45118,12.89086
ACAB,Financial Services,10.73,116,10.79028
ACABU,Financial Services,11.0,-1,10.702
ACABW,Financial Services,0.0503,37332,-1
ACAC,Financial Services,11.21,26734,11.13992
ACACU,Financial Services,11.1,-1,11.250784
ACACW,-1,-1,10,-1
ACAD,Healthcare,18.41,1929481,25.0354
ACB,Healthcare,3.84,2390815,3.7222
ACBA,Financial Services,12.23,6721,12.03688
ACBAU,Financial Services,11.96,-1,11.8256
ACBAW,Financial Services,0.02,5000,-1
ACCD,Healthcare,9.75,420172,11.534
ACDC,Energy,8.38,698410,7.5892
ACET,Healthcare,2.04,1477834,2.6711
ACGL,Financial Services,90.69,1968898,84.5326
ACGLN,Financial Services,20.77,35410,20.3652
ACGLO,Financial Services,23.72,12613,23.66322
ACHC,Healthcare,75.54,1017948,82.6638
ACHL,Healthcare,1.27,107206,1.08084
ACHV,Healthcare,4.6,74445,4.454
ACIC,Financial Services,10.86,185150,11.5548
ACIU,Healthcare,3.15,128139,3.5594
ACIW,Technology,32.57,320950,30.8156
ACLS,Technology,114.42,514084,119.9888
ACLX,Healthcare,72.04,317009,63.5228
ACMR,Technology,30.19,1842830,22.6062
ACNB,Financial Services,36.83,15650,38.69
ACNT,Basic Materials,10.55,5398,10.2626
ACON,Healthcare,0.3608,266037,1.6195
ACONW,Healthcare,0.0409,6000,-1
ACOR,Healthcare,12.11,2066,14.7738
ACRS,Healthcare,1.2,973370,1.20072
ACRV,Healthcare,6.33,66233,4.4206
ACST,Healthcare,3.4,30538,2.9074
ACT,Financial Services,30.68,198528,28.081
ACTG,Industrials,5.18,469050,4.0738
ACVA,Consumer Cyclical,19.04,1767548,15.4362
ACWI,-1,-1,4229003,104.8864
ACWX,-1,-1,1072294,51.1988
ACXP,Healthcare,2.06,168033,3.3041
ADAG,Healthcare,2.61,13978,3.2679
ADAP,Healthcare,1.34,1146245,1.21284
ADBE,Technology,511.25,5199799,581.3198
ADD,Communication Services,0.25,102449,0.2992
ADEA,Technology,11.02,860559,11.7156
ADI,Technology,195.15,3108959,192.5042
ADIL,Healthcare,1.71,172513,1.4742
ADMA,Healthcare,6.19,2647704,5.44
ADN,Utilities,0.1797,439850,0.18058
ADNWW,Utilities,0.0267,20819,-1
ADOC,Financial Services,2.85,571568,10.2294
ADOCR,-1,0.27,3483784,-1
ADOCW,Financial Services,0.045,108311,-1
ADP,Industrials,248.95,1857712,244.9828
ADPT,Healthcare,3.33,638385,3.882
ADSE,Industrials,10.79,75045,8.814
ADSEW,Industrials,2.1,46114,-1
ADSK,Technology,265.75,1618768,254.1438
ADTH,Communication Services,3.19,314187,2.778
ADTHW,Communication Services,0.12,4435,-1
ADTN,Technology,5.46,743234,6.4122
ADTX,Healthcare,3.09,15906,3.8906
ADUS,Healthcare,101.3,80562,92.6066
ADV,Communication Services,4.22,477176,3.919
ADVM,Healthcare,14.75,256440,16.13678
ADVWW,Communication Services,0.11,3000,-1
ADXN,Healthcare,12.1,7481,9.89626
AEAE,Financial Services,11.25,1,11.05384
AEAEU,Financial Services,10.94,-1,10.912
AEAEW,Financial Services,0.0407,437,-1
AEHL,Industrials,1.6299,13558,1.7028
AEHR,Technology,14.87,1097699,16.492
AEI,Real Estate,0.6901,78484,1.09612
AEIS,Industrials,97.94,156529,102.227
AEMD,Healthcare,1.66,5220,1.7756
AENT,Communication Services,1.67,54028,1.53728
AENTW,Communication Services,0.03,58736,-1
AEP,Utilities,83.1,3107748,80.7618
AERT,Industrials,2.49,44208,2.3787
AERTW,Industrials,0.0601,2,-1
AEYE,Technology,10.79,253623,6.2662
AEZS,Healthcare,1.97,19173,1.9124
AFAR,Financial Services,11.07,58273,11.0195
AFARU,Financial Services,10.94,-1,10.94
AFARW,Financial Services,0.0126,-1,-1
AFBI,Financial Services,16.52,591,16.45956
AFCG,Real Estate,13.09,155056,11.7548
AFIB,Healthcare,0.181,254546,0.19876
AFJK,-1,-1,1910,10.178585
AFJKR,-1,-1,-1,-1
AFJKU,-1,-1,112,10.36232
AFMD,Healthcare,5.04,73529,5.6948
AFRI,Consumer Defensive,10.5,6939,10.4754
AFRIW,Consumer Defensive,1.245,10,-1
AFRM,Technology,37.51,7057214,39.8447
AFYA,Consumer Defensive,21.13,105865,20.5842
AGAE,Communication Services,0.9103,14968,1.05492
AGBA,Financial Services,0.337,90409,0.39308
AGBAW,Financial Services,0.0177,61274,-1
AGEN,Healthcare,0.5622,5525892,0.6646
